Outlet,Address,Postcode,Sub area,Area,State,Location category,Location description,Other remarks
The Lighthouse Cafe,"52A, Jalan Penang, George Town, 10000 George Town, Pulau Pinang",10000,Georgetown,Penang Island,Penang,Food & Beverage,Outdoor seating,None
SUSU Vegan Mylk Bar Penang,"35, Pengkalan Weld, Georgetown, Penang, Malaysia",10030,Georgetown,Penang Island,Penang,Food & Beverage,Indoor seating,Vegan
1PLACE many cuisines,"203B, Jalan Hutton, George Town, 10050 George Town, Pulau Pinang",10050,Georgetown,Penang Island,Penang,Food & Beverage,Indoor seating,Reservations required
Corgi & The Gang Pet Cafe,"102-E-7, New World Park, 10050 George Town, Pulau Pinang",10050,Georgetown,Penang Island,Penang,Food & Beverage,Indoor seating,None
LotusS Nyonya Kitchen,"48, Jalan Burma, 10050 George Town, Pulau Pinang",10050,Georgetown,Penang Island,Penang,Food & Beverage,Indoor seating,Reservations required
The Thai • เดอะไทย Cafe and Restaurant,"1, Jalan Sri Bahari, George Town, 10050 George Town, Pulau Pinang",10050,Georgetown,Penang Island,Penang,Food & Beverage,Indoor seating,None
Batu @ Lava Mansion,"46A, Jln Sultan Ahmad Shah, 10050 George Town, Pulau Pinang",10050,Georgetown,Penang Island,Penang,Food & Beverage,Outdoor seating,None
Hotel Mokozoyo,"61, Jalan Argyll, George Town, 10050 George Town, Pulau Pinang",10050,Georgetown,Penang Island,Penang,Food & Beverage,Outdoor seating,"Only the cafe, not hotel"
Middle House Penang,"217-J, Jalan Burma, 10050 George Town, Pulau Pinang",10050,Georgetown,Penang Island,Penang,Food & Beverage,Outdoor seating,None
Moody Cow Dessert Cafe,"170, Jalan Transfer, George Town, 10050 George Town, Pulau Pinang",10050,Georgetown,Penang Island,Penang,Food & Beverage,Outdoor seating,None
New World Park Food City,"Jalan Burma, George Town, 10050 George Town, Pulau Pinang",10050,Georgetown,Penang Island,Penang,Food & Beverage,Outdoor seating,None
Passions of Kerala Restaurant,"New World Park, 40, Jalan Burma, 10050 George Town, Penang",10050,Georgetown,Penang Island,Penang,Food & Beverage,Outdoor seating,Reservations suggested
Penang Famous LOR BAK,"80, Jalan Penang, George Town, 10050 George Town, Pulau Pinang",10050,Georgetown,Penang Island,Penang,Food & Beverage,Outdoor seating,None
